"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","rawdat","X170410_Blk_FilterBlk_A","X170410_Blk_FilterBlk_B","X170410_Poo_April11AqExtractsFull_1","X170410_Poo_April11AqExtractsFull_2","X170410_Poo_April11AqExtractsFull_3","X170410_Poo_April11AqExtractsHalf_1","X170410_Poo_April11AqExtractsHalf_2","X170410_Poo_April11AqExtractsHalf_3","X170410_Smp_KM1513.125m_A","X170410_Smp_KM1513.125m_B","X170410_Smp_KM1513.125m_C","X170410_Smp_KM1513.15m_A","X170410_Smp_KM1513.15m_B","X170410_Smp_KM1513.15m_C","X170410_Smp_KM1513.45m_A","X170410_Smp_KM1513.45m_B","X170410_Smp_KM1513.45m_C","X170410_Smp_KM1513.75m_A","X170410_Smp_KM1513.75m_B","X170410_Smp_KM1513.75m_C","MassFeature","groupname","RT","Fraction","AveBlank","AveSmp","AvePoo"
"2131",23903,710.070725087465,710.070622524633,710.071134147273,593.927337646484,585.708984375,614.229858398438,14,11,0,0,17850395.1751667,10725893.1645526,11357445.027778,11705998.9923333,10096857.0358442,11661382.6647555,14912184.7502545,9231225.55944644,14126692.314596,8711897.56844999,15250951.3034511,11361447.0052109,7834514.8934773,12573093.2165353,10986379.1554797,18399437.8004062,29594194.2889915,11946956.5388664,"I710.0707R9.9","M710T594",9.89878896077474,"HILICPos",0,13744081.1995971,12232995.343405
"2132",23904,710.070643149157,710.07008024987,710.071290864589,526.650726318359,514.558,536.209655761719,12,10,0,0,5973051.95906206,3871198.91306637,4583857.89346876,3622212.7808062,2608190.08799082,3268681.20592499,8280074.15018877,4515469.73846632,1911227.48592185,5862460.20160714,4163693.15732833,4422951.9936377,5355536.71293751,6275296.39075521,2549452.98704687,3767578.22830109,3420270.13088544,4642172.97207895,"I710.0706R8.78","M710T527",8.77751210530599,"HILICPos",0,4597182.0124296,3987865.47338653
"2133",23905,710.070795687972,710.070260611873,710.071027553683,568.7685546875,562.128173828125,578.166687011719,9,7,0,0,8667883.8258676,5564209.05437501,6070321.75000002,6469828.072752,5646156.12396812,5775801.9221405,7387504.52098083,6458699.27811847,10759439.5577,7835515.45930664,7469528.05303502,7179529.06054587,21353811.6732677,7010548.39871192,9216710.42175001,6448534.17359645,6445869.38527107,5385668.49019229,"I710.0708R9.48","M710T569",9.47947591145833,"HILICPos",0,8579279.87270636,6365700.12485054
"2134",23923,710.895667900036,710.894704816936,710.896326867263,251.385078430176,248.875198364258,253.9326171875,10,10,0,0,62567.7140963759,8052.69891732931,177608.652425008,64967.8997575197,45094.9729806568,60929.9311941964,33271.1042490484,135446.176480176,108363.05909446,62807.1761103516,17102.0723843519,10284.0797624843,146218.878523275,53094.9114087612,44513.2231341379,70388.4749703124,31464.3438227688,86511.3796983031,"I710.8957R4.19","M711T251",4.1897513071696,"HILICPos",0,66622.0733032025,69870.3115618477
"2135",23926,711.069514321631,711.069255323705,711.069978534466,553.307739257812,537.930053710938,578.149536132812,25,16,0,0,219442754.324951,499535910.987808,137114654.560615,480624809.228803,114145615.996893,132460900.055067,115464556.904999,136062068.848125,124687726.905353,815738876.189292,139771515.1245,116550852.534001,131133221.571333,181660333.749999,395058587.087638,184093098.046766,152219393.0026,339710597.552571,"I711.0695R9.22","M711T553",9.22179565429687,"HILICPos",0,236012568.959765,263887440.859023
"2136",23927,711.069410226889,711.069251603772,711.069806912657,588.984161376953,581.6494140625,595.109741210938,8,8,0,0,264866868.085327,206465587.840424,209667768.320563,222805508.099772,235877479.3326,213015700.872049,331865900.880578,268399949.631121,162800212.509,234781445.358528,225308479.987061,212150918.913106,205856267.345812,225159290.655626,198542219.211667,680682364.583465,375845497.083872,211590152.374403,"I711.0694R9.82","M711T589",9.81640268961589,"HILICPos",0,277748558.211187,225449818.758456
"2137",23928,711.069736894754,711.069279362437,711.070120917062,527.361572265625,515.48,533.387573242188,11,10,2835044.4734154,3960779.19281596,205129300.674635,142772394.549821,185829285.526667,123615676.647708,102612312.990579,117463660.855554,173443811.893555,166255721.08361,103958449.003575,188976497.128779,116234395.342933,150012720.307563,291714206.188438,109734994.851429,159474944.928617,127608199.910142,129585036.938594,221412798.049362,"I711.0697R8.79","M711T527",8.78935953776042,"HILICPos",3397911.83311568,161534314.63555,146237105.207494
"2138",23929,711.069968430734,711.069861264677,711.070596704566,502.511291503906,494.111175537109,506.173004150391,5,5,12759418.429046,12406458.6769117,74510527.646944,35037505.9737568,29474540.7077619,24925099.857829,17293698.8832836,26163538.2931882,68964069.3255138,49553609.9298817,52354906.270175,59736773.4846239,49884715.9999998,41270183.4108925,71422386.1913023,63333928.6182856,43432000.1319226,25357086.2854876,27081429.5882121,70735298.4285205,"I711.07R8.38","M711T503",8.37518819173177,"HILICPos",12582938.5529789,51927198.9720681,34567485.2271272
"2139",23943,712.06768516607,712.067276627508,712.068075669506,553.078186035156,538.749938964844,568.786254882812,22,17,0,0,6978445.74839285,13269603.7215037,18862215.3617419,37214779.2566146,26424009.2987522,1259519.44299994,9421419.44615335,24850969.3293714,23989766.0921823,44710734.4180357,59607451.9980309,1497094.4121876,13290603.025,14857752.2158789,18803355.7747632,21427485.1579812,14333975.8951832,14769873.4062435,"I712.0677R9.22","M712T553",9.2179697672526,"HILICPos",0,21796706.7642509,17334762.1383342
"2140",23944,712.067293066597,712.066623672006,712.067773637375,501.075942993164,494.789001464844,510.984069824219,12,11,862826.862432422,826005.842139927,2410412.2600279,2674027.27638476,5577613.65338979,1439091.09951738,1009242.9975382,1669562.68074443,4534375.45094786,3400617.8581607,2853168.24578392,7599365.09335227,3045713.95987272,2318340.28133881,4810566.031203,3427920.7153125,2756051.51709665,1316651.73718922,1656648.81727812,3029266.27603126,"I712.0673R8.35","M712T501",8.35126571655274,"HILICPos",844416.352286174,3395723.83196392,2463324.99460041
"2141",23945,712.067587551454,712.067252117181,712.068038533624,579.26025390625,570.081298828125,595.109741210938,13,12,0,0,62186072.9129623,22589398.0889062,27867576.3759954,24999504.5936009,3899332.84999994,11179562.4266154,16092386.7348228,23666545.8276558,18183015.9392895,30561513.8593034,28012241.7896373,9913230.1753376,30190192.0579865,27563332.0765337,16818520.2882053,38979484.0794253,29792540.1045077,16760523.7533158,"I712.0676R9.65","M712T579",9.65433756510417,"HILICPos",0,23877793.8905017,25453574.5413467
"2142",23946,712.067461341178,712.067078261944,712.067922011215,524.584899902344,515.674011230469,535.2861328125,11,10,0,0,9195849.53071874,6348207.12494789,10577366.5167882,8114808.32150181,5861395.27078067,6946673.82205597,11211261.2814782,9686889.43887075,7154936.89084687,11611853.7413557,10356242.1947179,19698266.3180902,21759881.13483,17065215.8266226,4651142.125279,7846077.49288737,7791524.96781604,10991232.0371701,"I712.0675R8.74","M712T525",8.74308166503906,"HILICPos",0,11652043.6208304,7840716.76446555
"2143",23959,712.894283845755,712.893237203536,712.894812787528,249.515167236328,247.916107177734,252.982986450195,6,6,0,0,40029.9083470603,0,139079.129404447,18376.6209082514,25433.373386614,72435.772231585,7647.48969180882,83712.6033432241,85345.5070483398,54113.1788310148,0,7095.93612253368,124707.621166829,48351.2123251953,31304.5998949289,38464.3651953012,30327.093038325,64546.1222949221,"I712.8943R4.16","M713T250",4.15858612060547,"HILICPos",0,47967.9774127019,49225.800712993
"2144",23962,713.06658473288,713.066120523948,713.067069772078,557.608856201172,534.958862304688,601.676391601562,36,18,0,0,778168493.067033,200320346.784666,47988122.0070006,513552370.602115,125416451.535999,107918075.9565,317792213.294154,181413629.095874,33453770.9404997,807244240.361019,203637905.260941,157460912.948769,33872324.3840016,334813399.953417,469441510.192069,412364452.103396,440991364.483764,229701919.258536,"I713.0666R9.29","M713T558",9.2934809366862,"HILICPos",0,301848970.189703,295560643.325552
"2145",23963,713.066713527454,713.066314611955,713.0672134427,524.584899902344,515.48,533.387573242188,11,10,0,0,210717360.475891,188444587.206868,167961746.880261,127359833.706987,106231588.184604,68646279.2994644,168768012.97019,324973402.60378,123994192.70025,188432477.262234,207411518.052667,157603839.681168,325749734.621096,142415388.388067,169404173.862624,131340707.479052,136071535.86617,224362732.335,"I713.0667R8.74","M713T525",8.74308166503906,"HILICPos",0,191710642.985191,144893565.959013
"2146",23964,713.066943957001,713.06639697042,713.067576776015,504.733489990234,492.941833496094,510.0966796875,9,8,15364943.0465064,15316452.2061783,97034308.649858,47981364.3233726,36078920.2912977,32871299.7388739,24954346.2329407,36585614.5188352,101098958.264419,67162590.0186601,57475921.9414631,81017038.965658,59701897.7297775,74008716.796889,88908465.2955162,85705952.5318181,58455885.6848696,32563980.8094306,37983738.0276718,68584671.388827,"I713.0669R8.41","M713T505",8.41222483317057,"HILICPos",15340697.6263423,67722318.12125,45917642.2925297
