,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Height,IR,S.N,Run.Cmpd,runDate,type,SampID,replicate,13C Acetyl CoA.Norm.Area,13C-Isethionic Acid.Norm.Area,13C-Sulfoacetic Acid.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d3-Cysteic Acid.Norm.Area,d4 Succinic Acid.Norm.Area,d4 Taurine.Norm.Area,D-Methionine.Norm.Area,Heavy Alanine.Norm.Area,Heavy Histidine.Norm.Area,Heavy Isoleucine.Norm.Area,PooModel.IS,SmpModel.IS,PooPlusModel.IS,PooModel,SmpModel,PooPlusModel
34,160802_Smp_Tp_12,Sarcosine,10.515,,7656606,627197,1368.962274,379.3281945,160802_Smp_Tp_12 Sarcosine,160802,Smp,Tp,12,11355366.97,8923317.795,8508442.879,10228050.88,7888825.395,7445608.255,6307554.16,11769555.91,7516133.033,11883269.54,6529913.938,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,8923317.795,11883269.54,8923317.795
35,160802_Smp_Tp_34,Sarcosine,10.495,,7722681,644952,1997.072925,306.642973,160802_Smp_Tp_34 Sarcosine,160802,Smp,Tp,34,7834062.48,6722294.695,8078619.012,8482704.687,7383686.037,8436817.825,6743472.661,12498206.93,6329372.5,10251354.39,8353818.057,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,6722294.695,10251354.39,6722294.695
36,160802_Smp_Tp_56,Sarcosine,10.515,,8135701,604721,919.8079141,132.6435171,160802_Smp_Tp_56 Sarcosine,160802,Smp,Tp,56,6788282.299,6912362.354,6915001.327,9239394.429,6666549.545,7871997.583,8648303.111,11698256.81,6797277.774,8848800.28,10105461.51,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,6912362.354,8848800.28,6912362.354
37,160802_Poo_0801PooledDiatoms_1,13C Acetyl CoA,10.85,,1135267,27356,1.487298705,296.4885476,160802_Poo_0801PooledDiatoms_1 13C Acetyl CoA,160802,Poo,0801PooledDiatoms,1,923978.75,891875.7832,838906.6292,888169.3174,801954.4819,1135196.34,1170973.671,1220011.13,1109310.735,819609.7392,1830502.153,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
38,160802_Poo_0801PooledDiatoms_2,13C Acetyl CoA,10.86,,1311426,47884,1.516074884,Inf,160802_Poo_0801PooledDiatoms_2 13C Acetyl CoA,160802,Poo,0801PooledDiatoms,2,923978.75,1030813.976,935517.0109,1085962.088,1363905.91,1493819.216,1430035.263,1391775.844,1243319.618,909170.831,1951896.223,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
39,160802_Poo_0801PooledDiatoms_3,13C Acetyl CoA,10.85,,1119002,45099,1.434632663,Inf,160802_Poo_0801PooledDiatoms_3 13C Acetyl CoA,160802,Poo,0801PooledDiatoms,3,923978.75,827444.21,670583.6763,889923.8118,790661.8738,867291.3596,1167532.412,1226997.569,971112.2554,695511.314,1653424.58,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
40,160802_Smp_Np_12,13C Acetyl CoA,11.03,,767042,30676,1.58414946,Inf,160802_Smp_Np_12 13C Acetyl CoA,160802,Smp,Np,12,923978.75,957360.3523,1340564.652,1046182.038,1167553.889,769634.1234,838472.5752,429036.846,781928.5765,1266956.079,433934.5422,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
41,160802_Smp_Np_34,13C Acetyl CoA,10.84,,837422,31976,1.405037466,Inf,160802_Smp_Np_34 13C Acetyl CoA,160802,Smp,Np,34,923978.75,1020614.361,1356243.896,1099576.053,1287921.49,878685.6203,911963.932,473537.113,837634.5393,1303961.933,518622.219,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
42,160802_Smp_Np_56,13C Acetyl CoA,10.87,,886737,38676,1.921377822,Inf,160802_Smp_Np_56 13C Acetyl CoA,160802,Smp,Np,56,923978.75,1119014.997,1209867.559,1110159.289,1709464.142,939164.9716,993484.4867,507142.8514,952788.9899,1362799.749,619502.5846,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
43,160802_Smp_Pt_12,13C Acetyl CoA,11.14,,619847,18881,1.655715766,Inf,160802_Smp_Pt_12 13C Acetyl CoA,160802,Smp,Pt,12,923978.75,801993.4328,836499.6033,529218.0608,710983.5839,646248.5843,504477.0094,1026791.753,820519.196,743923.4333,928922.262,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
44,160802_Smp_Pt_34,13C Acetyl CoA,10.835,,884658,42389,1.369318806,97.34698323,160802_Smp_Pt_34 13C Acetyl CoA,160802,Smp,Pt,34,923978.75,1109515.505,894299.3418,811583.0864,950161.6403,989122.9649,1019619.63,1286600.245,1160568.663,785560.9553,1015758.958,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
45,160802_Smp_Pt_56,13C Acetyl CoA,10.785,,885108,31663,1.631869378,461.274571,160802_Smp_Pt_56 13C Acetyl CoA,160802,Smp,Pt,56,923978.75,947328.4868,993294.66,761437.9877,659567.2504,799383.7136,856637.4015,1350743.028,978314.7528,637317.2285,1138907.929,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
46,160802_Smp_Tp_12,13C Acetyl CoA,11.09,,623013,33611,1.248728248,89.1954983,160802_Smp_Tp_12 13C Acetyl CoA,160802,Smp,Tp,12,923978.75,726084.5066,692326.4072,832249.7802,641908.5396,605844.2521,513241.5381,957681.0321,611582.8069,966933.8353,531334.8071,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
47,160802_Smp_Tp_34,13C Acetyl CoA,10.91,,910842,37703,1.540874949,411.4740874,160802_Smp_Tp_34 13C Acetyl CoA,160802,Smp,Tp,34,923978.75,792852.6822,952822.6659,1000482.048,870859.661,995069.9791,795350.491,1474085.462,746509.9628,1209083.236,985280.6748,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
48,160802_Smp_Tp_56,13C Acetyl CoA,10.825,,1107381,40635,1.302929937,286.7020124,160802_Smp_Tp_56 13C Acetyl CoA,160802,Smp,Tp,56,923978.75,940867.7551,941226.9557,1257608.882,907409.245,1071487.332,1177153.21,1592293.931,925203.1581,1204443.637,1375492.544,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,13C Acetyl CoA.Norm.Area,923978.75,923978.75,923978.75
49,160802_Poo_0801PooledDiatoms_1,13C-Isethionic Acid,6.475,,24386496,744632,1.374427113,135.4445633,160802_Poo_0801PooledDiatoms_1 13C-Isethionic Acid,160802,Poo,0801PooledDiatoms,1,19847845.56,19158246.67,18020424.41,19078628.65,17226661.01,24384978.16,25153505.52,26206871.63,23828933.46,17605910.88,39320735.5,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,19158246.67,19158246.67,19158246.67
50,160802_Poo_0801PooledDiatoms_2,13C-Isethionic Acid,6.305,,24373576,724513,1.343802983,103.5086154,160802_Poo_0801PooledDiatoms_2 13C-Isethionic Acid,160802,Poo,0801PooledDiatoms,2,17172655.02,19158246.67,17387099.97,20183204.77,25348944.08,27763454.58,26577994.61,25866922.2,23107781.3,16897441.67,36277068.57,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,19158246.67,19158246.67,19158246.67
51,160802_Poo_0801PooledDiatoms_3,13C-Isethionic Acid,6.39,,25908836,772244,1.337768391,201.280111,160802_Poo_0801PooledDiatoms_3 13C-Isethionic Acid,160802,Poo,0801PooledDiatoms,3,21393361.14,19158246.67,15526373.05,20604869.42,18306606.08,20080848.47,27032485.9,28409313.64,22484667.73,16103535.62,38282600.28,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,19158246.67,19158246.67,19158246.67
52,160802_Smp_Np_12,13C-Isethionic Acid,6.78,,15349685,588053,1.378684914,227.7008079,160802_Smp_Np_12 13C-Isethionic Acid,160802,Smp,Np,12,18490229.69,19158246.67,26826751.5,20935704.61,23364541.21,15401557.36,16779120.19,8585684.278,15647588.19,25353731.25,8683694.678,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,19158246.67,19158246.67,19158246.67
53,160802_Smp_Np_34,13C-Isethionic Acid,6.7,,15719490,534037,1.315054322,78.12626647,160802_Smp_Np_34 13C-Isethionic Acid,160802,Smp,Np,34,17344271.73,19158246.67,25458445.52,20640459.38,24175945.91,16494061.32,17118738.11,8888901.787,15723479.64,24477045.71,9735207.321,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,19158246.67,19158246.67,19158246.67
54,160802_Smp_Np_56,13C-Isethionic Acid,6.545,,15181500,431610,1.372903906,1331.193639,160802_Smp_Np_56 13C-Isethionic Acid,160802,Smp,Np,56,15819102.39,19158246.67,20713700.16,19006631.34,29267110.62,16079100.14,17009084.69,8682607.356,16312351.97,23331996.29,10606277.27,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,19158246.67,19158246.67,19158246.67
55,160802_Smp_Pt_12,13C-Isethionic Acid,6.7,,14807081,506872,1.410974899,371.8724108,160802_Smp_Pt_12 13C-Isethionic Acid,160802,Smp,Pt,12,22072266.53,19158246.67,19982539.86,12642111.19,16984177.57,15437769.54,12051089.93,24528292.72,19600795.35,17771054.04,22190358.55,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,13C-Isethionic Acid.Norm.Area,19158246.67,19158246.67,19158246.67
