"","Compound.Name","type","SampID","Normer","m","sd","rsd","Poo.Picked.IS","PooPlus.IS"
"74","13C-Isethionic Acid","Smp","40ppt4C","d4 Taurine.Norm.Area",5596280.83087652,481298.826629688,0.086003337068827,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"75","13C-Isethionic Acid","Smp","40ppt4C","Heavy Alanine.Norm.Area",5656019.17721939,501882.304853892,0.0887341943385396,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"76","13C-Isethionic Acid","Smp","40ppt4C","Heavy Histidine.Norm.Area",6786356.35009698,450408.357789983,0.0663696886155331,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"77","13C-Isethionic Acid","Smp","40ppt4C","Heavy Isoleucine.Norm.Area",7920885.10819013,2747733.04849268,0.346897223095882,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"78","13C-Isethionic Acid","Smp","40ppt4C","Heavy Proline.Norm.Area",5693710.17293807,678406.651094879,0.119150190383647,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"79","13C-Isethionic Acid","Smp","40ppt4C","Heavy Valine.Norm.Area",5495794.847389,1095263.53484757,0.199291197226534,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"80","13C-Isethionic Acid","Smp","40ppt4C","inj.vol.Norm.Area",6215639,495904.970699024,0.0797834254368737,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"81","13C-Sulfoacetic Acid","Poo","April10AqExtracts","13C-Isethionic Acid.Norm.Area",17529370.2044557,2683707.83575746,0.153097789849593,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"82","13C-Sulfoacetic Acid","Poo","April10AqExtracts","13C-Sulfoacetic Acid.Norm.Area",14621476,0,0,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
"83","13C-Sulfoacetic Acid","Poo","April10AqExtracts","13C-Sulfolactic Acid.Norm.Area",18570134.2879932,3512569.91512933,0.189151562431104,"13C-Sulfoacetic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area"
